text,label
"Job Title: Cloud Engineer | Education: M.Tech Computer Science | Experience: 1 years at Microsoft India | Skills: grafana, traefik, monitoring, high availability, disaster recovery, ansible, load balancing, service mesh, azure, gitops, tracing, prometheus, elk stack, sli, chef, gitlab ci, logging, consul | Summary: Published research paper on chef optimization techniques. Conducted code reviews for grafana and sli implementations. Implemented service mesh solutions to improve system performance by 40%. Led a team of 5 engineers to deliver tracing projects on time. Wrote unit tests and integration tests for azure modules.",devops
"Job Title: Infrastructure Engineer | Education: B.E Electronics | Experience: 6 years at Paytm | Skills: jaeger, terraform, gitlab ci, high availability, logging, consul, gitops, kubernetes, slo, vault, infrastructure as code, service mesh, bash, traefik, nginx, tracing, disaster recovery | Summary: Integrated disaster recovery with bash for seamless data flow. Built scalable nginx pipelines with slo achieving 99.9% uptime. Built scalable kubernetes pipelines with jaeger achieving 99.9% uptime. Migrated legacy systems to modern nginx architecture using gitlab ci. Designed and deployed tracing infrastructure using infrastructure as code.",devops
"Job Title: DevOps Engineer | Education: B.Tech Computer Science | Experience: 2 years at Wipro | Skills: chef, aws, puppet, linux, grafana, elk stack, jenkins, sli, gitops, istio, flux, logging, sla, gcp, terraform, tracing | Summary: Implemented istio solutions to improve system performance by 40%. Published research paper on istio optimization techniques. Designed and deployed sli infrastructure using terraform.",devops
"Job Title: AI Engineer | Education: M.Tech Artificial Intelligence | Experience: 10 years at TechCorp India | Skills: feature engineering, deep learning, automl, mlflow, opencv, classification, catboost, matplotlib | Summary: Developed and maintained matplotlib applications using matplotlib and matplotlib. Collaborated with cross-functional teams on feature engineering and matplotlib solutions. Led a team of 5 engineers to deliver matplotlib projects on time. Contributed to open-source deep learning projects on GitHub.",machine_learning
"Job Title: Penetration Tester | Education: CISSP | Experience: 2 years at Microsoft India | Skills: gdpr, soc, vpn, ethical hacking, threat intelligence, ips, web application security, zero trust, malware analysis, powershell, aws security, ids, compliance, nist, pki, bash scripting | Summary: Integrated soc with gdpr for seamless data flow. Contributed to open-source ethical hacking projects on GitHub. Achieved ids certification and applied it in production environments. Designed and deployed ids infrastructure using bash scripting.",cybersecurity
"Job Title: Cloud Engineer | Education: B.E Electronics | Experience: 9 years at TechCorp India | Skills: gitops, slo, tracing, elk stack, go, nginx, grafana, argocd, vault, disaster recovery, gcp, linux, sli, chef, github actions, python, logging, terraform | Summary: Led a team of 5 engineers to deliver vault projects on time. Automated vault processes saving 20 hours of manual work weekly. Implemented grafana solutions to improve system performance by 40%. Contributed to open-source tracing projects on GitHub. Developed and maintained chef applications using grafana and vault.",devops
"Job Title: Information Security Engineer | Education: B.E Electronics | Experience: 1 years at Swiggy | Skills: cryptography, reverse engineering, pki, active directory, kali linux, cloud security, tls, network security, compliance | Summary: Achieved cloud security certification and applied it in production environments. Developed and maintained kali linux applications using tls and active directory. Contributed to open-source pki projects on GitHub.",cybersecurity
"Job Title: Web Developer | Education: B.Tech Computer Science | Experience: 6 years at Paytm | Skills: stripe api, css, jest, mysql, websockets, typescript, ci/cd, docker, microservices, payment integration, webpack, oauth, postgresql, mongodb, rest api, tailwind css, react, angular | Summary: Integrated stripe api with mysql for seamless data flow. Developed and maintained react applications using mongodb and rest api. Automated webpack processes saving 20 hours of manual work weekly. Integrated websockets with payment integration for seamless data flow.",fullstack
"Job Title: Cybersecurity Analyst | Education: B.Tech Computer Science | Experience: 7 years at Google India | Skills: hipaa, wireshark, malware analysis, ips, tls, metasploit, cloud security, zero trust, ctf, aws security | Summary: Published research paper on ips optimization techniques. Implemented ctf solutions to improve system performance by 40%. Integrated hipaa with metasploit for seamless data flow.",cybersecurity
"Job Title: Research Scientist | Education: B.Tech Electronics | Experience: 5 years at InMobi | Skills: reinforcement learning, colab, xgboost, wandb, neural networks, umap, python, fine tuning | Summary: Achieved neural networks certification and applied it in production environments. Optimized colab workflows reducing latency by 60% using fine tuning. Built scalable colab pipelines with neural networks achieving 99.9% uptime. Integrated wandb with fine tuning for seamless data flow.",machine_learning
"Job Title: React Native Developer | Education: BCA | Experience: 1 years at Razorpay | Skills: cocoapods, android, jetpack compose, clean architecture, unit testing, retrofit, core data, ui testing, java | Summary: Designed and deployed cocoapods infrastructure using android. Achieved ui testing certification and applied it in production environments. Contributed to open-source cocoapods projects on GitHub.",mobile
"Job Title: Information Security Engineer | Education: M.Tech Information Security | Experience: 1 years at Zoho | Skills: compliance, splunk, vulnerability assessment, siem, azure security, firewall, qradar, powershell, zero trust, threat intelligence, cryptography, iso 27001, ldap, python scripting, wireshark, tls, penetration testing, web application security | Summary: Designed and deployed wireshark infrastructure using qradar. Collaborated with cross-functional teams on vulnerability assessment and iso 27001 solutions. Developed and maintained cryptography applications using threat intelligence and firewall. Contributed to open-source splunk projects on GitHub. Published research paper on threat intelligence optimization techniques.",cybersecurity
